ID ;BLR-698;TR-81;Black 101;Az-142N;SicL1600;H4G;EL9914;L3912C;L0962HD;CG GN;ZiePig G;SY3CN;L1100;L2110;L1010;HeG8735;By130M;By320;By316;By610;EP-28;EP08;B³êkit Pigmentowy BL;DPP SR2P;VR F5RK;PO2930;CP4403; ChV5800;L;a;b
PR/1804/1;50;;1,5;;;;;;;;;;;4,75;;;0,2;;;;;0,4;;;;;;;61;-1,59;-0,42
PR/1800/3;50;;1,4;;;;;;;;;;;4,8;;;0,2;;;;;0,4;;;;;;;61,78;-1,56;-0,7
PR/1801/14;115;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;92,87;-2,23;-0,42
PR/1801/16;115;;;;;;;;;;;;;;;;0,02;;;;;0,3;;;;;;;93,45;-1,53;1,31
PR/1806/3;50;;1;1,2;;;;;;;;;;;;;0,45;;;;;;;;;;;;64,81;-0,43;0,64
PR/1805/15;5,3;;2;;;;;;;0,8;;;;1,4;1,4;;0,3;;;;;0,2;;;;;;;26,38;-1,55;-0,71
PR/1807/3;115;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;87,27;0,32;0,41
PR/1808/15;122;;;;;;;;;0,05;;;;;;;;;;;;0,3;;;;;;;93,89;-2,11;1,43
PR/1808/6;120;;;;;;;;;;;;;;;;;0,02;;;;;;;;;;;94,05;-0,97;4,32
PR/1810/1;15;;3;;;;;;;;;;;4;;;0,7;;;;;;;;;;;;40,81;-0,23;1,2
PR/1810/3;15;;3;;;;;;;;;;1;4,5;;;0,7;;;;;;;;;;;;41,59;-0,31;-0,82
PR/1816/2;;;;;;5,5;;;;;;;;3;;;1,5;;;5;;;;;;;;;40,68;17,19;20,56
PR/1818/3;120;;;;;;;;;;;;;;;;;0,01;;;;;;;;;;;89,91;-0,21;2,47
PR/1819/15;43;;1,2;;;;;;;;;;;;;;;;;;;0,5;;;;;;;63,05;-1,97;-4,08
